Idx	ID	Text	Unk
0	0	One handed attack power: %d~%d	0
1	1	Two handed attack power: %d~%d	0
2	2	Number of items: %d	1
3	3	Armor: %d	2
4	4	Magic resistance: %d	3
5	5	Defense rate: %d	15
6	6	Attack speed: %d	101
7	7	Movement speed: %d	102
8	8	Durability: [%d/%d]	4
9	9	Minimum level required: %d	5
10	10	(Lacking %d levels)	201
11	11	Strength available: %d	6
12	12	(Lacking %d strength)	202
13	13	Agility available: %d	7
14	14	(Lacking: %d agility)	203
15	15	Available HP: %d	8
16	16	(Lacking %d HP)	204
17	17	Available energy: %d	9
18	18	(Lacking %d energy)	205
19	19	Command available: %d	10
20	20	(Lacking %d leadership)	206
21	21	Increases pet attack power by %d%%	11
22	22	Increases wizardry by %d%%	11
23	23	Increases curse spell by %d%%	11
24	24	Increases swimming speed	13
25	25	Increases movement speed	13
26	26	Increases damage by %d%%	207
27	27	Increases damage by %d%%	208
28	28	Increases damage by %d%%	209
29	29	Increases damage by %d%%	210
30	30	Absorbs %d%% of incoming DMG	208
31	31	Absorbs %d%% of incoming DMG	209
32	32	Absorbs %d%% of incoming DMG	210
33	33	Absorbs %d%% of incoming DMG	211
34	34	Absorbs %d%% of incoming DMG	212
35	35	Absorbs %d%% of incoming DMG	213
36	36	Absorbs %d%% of incoming DMG	214
37	37	Combines %d %s	215
38	38	Available after dismantling	-1
39	39	It is used to combine chaos items	-1
40	40	Throw it on the ground to make money and items appear.	-1
41	41	Fire attribute	-1
42	42	Water attribute	-1
43	43	Ice attribute	-1
44	44	Wind attribute	-1
45	45	Lightning attribute	-1
46	46	Earth attribute	-1
47	47	Element: : %s	216
48	48	Level: 1	-1
49	49	Level: 2	-1
50	50	Level: 3	-1
51	51	Level: 4	-1
52	52	Level: 5	-1
53	53	Increases by %s	217
54	54	Absorb 20%% of damage	-1
55	55	Increases maximum HP by +50	-1
56	56	HP: %d	1
57	57	Increases attack power and wizardry by 30%%	-1
58	58	Increases damage by 15%%	-1
59	59	Absorb 10%% of damage	-1
60	60	Unable to equip while wearing a different transformation ring	-1
61	61	Durability: [%d]	1
62	62	Used when creating a Cloak of Invisibility	-1
63	63	Used when entering the Blood Castle.	-1
64	64	Right click to see how much time is left.	-1
65	65	A #Horn Fragment can be made by combining the Divine Protection of the Goddess and an Armor Fragment.	-1
66	66	A #Broken Horn can be made by combining a Beastly Claw and a Horn Fragment.	-1
67	67	Horn of Fenrir can be #made by combining items.	-1
68	68	Cannot be repaired	-1
69	69	Elite Centaur researcher's I.D.	-1
70	70	You can enter the refinery tower.	-1
71	71	%d number/20	1
72	72	%d number/10	1
73	73	Increases defense by 10%%	-1
74	74	Increases HP by %d	218
75	75	Enjoy the Halloween festivities.	-1
76	76	Unable to equip while wearing a different transformation ring	-1
77	77	Increases attack power by 20	-1
78	78	Increases wizardry by 20	-1
79	79	Merry Christmas.	-1
80	80	Increases ice, poison, lighting, fire, earth, and fire skill attack power by 255	-1
81	81	Increases Exp gain rate.	-1
82	82	Increases Exp gain rate and item drop rate.	-1
83	83	Prevents Exp from being gained.	-1
84	84	This entrance to Devil Square can only be used a specified number of times.	-1
85	85	You will be assigned to a stage according to your level.	-1
86	86	Usable %dtimes	1
87	87	This entrance to the Blood Castle can only be used a specified number of times.	-1
88	88	This entrance to Kalima can only be used a specified number of times.	-1
89	89	Assemble the Scroll of Blood with the contract from the Illusion Sorcery.	-1
90	90	Combine the Scroll of Blood with the Old Scroll.	-1
91	91	Evidence which makes the Illusion Sorcerer appear.	-1
92	92	Required to enter the temple.	-1
93	93	Ingredients for the 3rd wing assembly	-1
94	94	Reset Points: %d	16
95	95	Resets the status.	-1
96	96	This can be used on unequipped items	-1
97	97	You are free to move on.	-1
98	98	Can be used by Darklord	-1
99	99	This reduces your kill rate.	-1
100	100	This entrance to the Illusion Temple can only be used a specified number of times.	-1
101	101	Exp gain rate is increased by %d%%	219
102	102	Automatic HP recovery rate increased by %d%%	220
103	103	Increases your Exp gain rate and HP recovery rate.	-1
104	104	Increases item drop rate by %d%%	219
105	105	Increases automatic Mana recovery rate by %d%%	220
106	106	Automatic Mana recovery 	-1
107	107	Increases Damage, Wizardry and Curse by 40%%	-1
108	108	Increases attack speed by 10	-1
109	109	Reduces damage from monsters by 30%%	-1
110	110	Increases maximum HP by 50	-1
111	111	Right click to warp to Santa's Village.	-1
112	112	Auto-collects zen around you.	-1
113	113	Remember where you die.	-1
114	114	Move by clicking the right mouse button.	224
115	115	You can save your location.	-1
116	116	Items/Skills/Luck/Options will be randomly generated.	-1
117	117	Transforms you into a Panda.	-1
118	118	Increases Zen by 50%% 	-1
119	119	Attack/Wizardry/Curse +30	-1
120	120	Increases Exp gain rate by 50%%	-1
121	121	Increase Defensive Skill +50	-1
122	122	Exp and items are preserved when a character dies.	-1
123	123	There is no penalty for dying.	-1
124	124	Right click to use.	-1
125	125	Items will not lose durability points for a certain amount of time.	-1
126	126	Maintains item durability	-1
127	127	Applies only to equippable items, excluding pets.	-1
128	128	Increases your chance of creating the wings you desire.	-1
129	129	Increases your chance of creating Wings of Satan.	-1
130	130	Increases your chance of creating Wings of Heaven.	-1
131	131	Increases your chance of creating the wings you desire.	-1
132	132	Increases your chance of creating Wing of Curse.	-1
133	133	Increases your chance of creating the Emperor's Cape.	-1
134	134	Increases your chance of creating Wings of Dragon.	-1
135	135	Increases your chance of creating Wings of Soul.	-1
136	136	Increases your chance of creating Wings of Spirits.	-1
137	137	Increases your chance of creating Wind of Despair.	-1
138	138	Increases your chance of creating Darkness Wings.	-1
139	139	Increases Exp gain rate.	-1
140	140	Warp map window available.	-1
141	141	Increases Exp gain rate and item drop rate.	-1
142	142	Increases attack rate and defense rate.	-1
143	143	Increases Exp gain rate by up to 170%%, depending on the number of people in your party	-1
144	144	Increases Maximum AG + level # Up to maximum of 1,000 AG increase	-1
145	145	Increases Maximum SD + level x 10#Up to maximum of 1,000 SD increase	-1
146	146	Increases automatic HP recovery rate by 3%%	-1
147	147	Increases maximum Mana by 4%%	-1
148	148	Increases maximum HP by 4%%	-1
149	149	Increases the amount of Zen received for killing monsters by 30%%	-1
150	150	Decreases damage received by 4%%	-1
151	151	Increases your chance of doing Excellent damage by 10%%	-1
152	152	Increases attack speed by 7	-1
153	153	Increases Mana received from killing monsters by Mana/8	-1
154	154	Increases item drop rate.	-1
155	155	Temporarily maintains HP.	-1
156	156	Duration: 6 hours	-1
157	157	Duration: 24 hours	-1
158	158	Duration: 7 days	-1
159	159	Duration: 30 days	-1
160	160	This entrance to the Chaos Castle can only be used a specified number of times.	-1
161	161	Equip this to transform into a Skeleton Warrior.	-1
162	162	Attack/Wizardry/Curse +40	-1
163	163	Increases Exp gain rate by 50%% when equipped along with a pet skeleton.	-1
164	164	Increases attack, wizardry and curse damage by 20%%	-1
165	165	Increases Exp gain rate by 30%%	-1
166	166	Increases Exp gain rate by 50%% when equipped along with a Transformation Ring.	-1
167	167	You can enter to Paid Channel Channel.	-1
168	168	Expires in 7 days	-1
169	169	This entrance to Doppelganger can only be used a specified number of times.	-1
170	170	This entrance to the Varka can only be used a specified number of times.	-1
171	171	This map can be entered from Monday - Saturday.	-1
172	172	This entrance to the Varka map 7 can only be used a specified number of times.	-1
173	173	This map can be entered on Sunday.	-1
174	174	(in use)	222
175	175	Idol	-1
176	176	Increases critical damage by +10%%	-1
177	177	Right click on this item in your inventory to use it.	-1
178	178	Charm	-1
179	179	Increases maximum HP by 50	-1
180	180	Increases maximum MP by 50	-1
181	181	Increases maximum HP by 100	-1
182	182	Increases maximum SD by 500	-1
183	183	Increases maximum MP by 150	-1
184	184	Increases maximum AG by 50	-1
185	185	Relic	-1
186	186	Increases item drop rate by 20%%	-1
187	187	You can make special items by combining chaos cards.	-1
188	188	You can register an item by giving it to an NPC.	-1
189	189	It is used to increase your item level up to 6	-1
190	190	This is used to increase your item level to 7,8,or 9	-1
191	191	Increases item by 1 level	-1
192	192	This is used to combine items to create a Devil Square Invitation	-1
193	193	Right click to see how much time is left.	-1
194	194	Use this to create fruits that increase your stats	-1
195	195	Quest Item	-1
196	196	Cannot be stored in a warehouse.	-1
197	197	Cannot be traded	-1
198	198	%d / 5	1
199	199	Can create the lost map.	-1
200	200	%d is needed to create the lost map.	223
201	201	Create and improve siege items	-1
202	202	Impure Jewel	-1
203	203	Item Enhancement Jewel	-1
204	204	Used for granting harmony bonus options, or used as a combination material for removing #harmonization options.	-1
205	205	Drop this to receive a gift.	-1
206	206	Attack Speed +%d	219
207	207	Attack/Wizardry +%d	219
208	208	Defense +%d	219
209	209	Max HP +%d	219
210	210	Max MP +%d	219
211	211	Throw this on the ground to produce Fireworks.	-1
212	212	The GM has given you this special gift.	-1
213	213	Increases the combination rate, but only up to the maximum rate.	-1
214	214	%d%% increase in combination success rate	1
215	215	Throw this item on the ground to get money or a piece of armor.	-1
216	216	Congratulations!!#Item exchange is only possible after contacting our CS team.	-1
217	217	Movement speed reduced when acquired	-1
218	218	Restores Stamina by 100%% immediately.	-1
219	219	Immediately restores 100%% Mana.	-1
220	220	Attack Speed +%d	219
221	221	Defense +%d	219
222	222	Attack +%d	219
223	223	Wizardry +%d	219
224	224	HP +%d	219
225	225	MP +%d	219
226	226	Strength +%d	219
227	227	Agility +%d	219
228	228	Health +%d	219
229	229	Energy +%d	219
230	230	Command +%d	219
231	231	#Increases stats for a set time period.	-1
232	232	Can be equipped by %s	221
233	233	Max MP +700	-1
234	234	Max HP +700	-1
235	235	Attack/Wizardry +40	-1
236	236	Collect and take them to the Cherry Blossom Spirit for compensation.	-1
237	237	Reward for 10 pieces	-1
238	238	Reward for 30 pieces	-1
239	239	Reward for 50 pieces	-1
240	240	Reward for 255 pieces	-1
241	241	You can create a Summoner.	-1
242	242	Produce Normal or High Level Items	-1
243	243	Produce Event Items	-1
244	244	Immediately restores Stamina by 65%%.	-1
245	245	Produce Beginner Items	-1
246	246	Upgrading items above level +9 # prevents items from disappearing.	-1
247	247	Use this after putting it into the combination window	-1
248	248	Critical DMG +20%%	-1
249	249	Excellent DMG +20%%	-1
250	250	You may continue to use the strengthener.	-1
251	251	It can be exchanged for items through Devias NPC Delgado.	-1
252	252	Old paper notes that are no longer available can be sold at stores.	-1
253	253	This is the plan to destroy the Gaion Empire and the Command of Empire Guardians.	-1
254	254	Cannot be used anymore.#Can be sold to shops	-1
255	255	It's part of a Complete Secromicon.	-1
256	256	Indestructible Metal Secromicon	-1
257	257	Contains information about Grand Wizard Etramu Lenos's research.	-1
258	258	This is a sign infused with dimensional traces.	-1
259	259	Collecting 5 of these automatically produces a Dimensional Mirror.	-1
260	260	You need %d more to create a Dimensional Mirror.	223
261	261	This is a key that can only be used to teleport to Doppelganger through NPC Lugard.	-1
262	262	Combining a Goblin # with a sealed Silver Box creates a Silver Box.	-1
263	263	Combining a Goblin # with a sealed Gold Box creates a Golden Box.	-1
264	264	You can acquire Goblin Points by using storage from MU's in-game item shop.	-1
265	265	Combining a Goblin # with a Golden Key creates a Golden Box.	-1
266	266	Combining a Goblin # with a Silver Key creates a Silver Box.	-1
267	267	This item has a fixed probability of turning into a rare item when dropped.	-1
268	268	Immediately restores SD by 65%%.	-1
269	269	This box contains various items.	-1
270	270	Max HP +100	-1
271	271	Click this item to see information about the quest.	-1
272	272	Lv. 350 - 400	-1
273	273	Bring this to Tercia to refund your deposit.	-1
274	274	You can obtain the powder from Queen Rainier.	-1
275	275	A rare jewel possessed by the Bloody Witch Queen.	-1
276	276	A suit of armor once worn by Tantalos.	-1
277	277	A mace once wielded by the Burnt Murderer.	-1
278	278	Throw this item on the ground to receive money or a weapon.	-1
279	279	Throw this item on the ground to receive money or a piece of armor.	-1
280	280	Throw this item on the ground to receive money, a jewel, or a ticket.	-1
281	281	This Jewel is used to repair Lucky Items	-1
282	282	Item Enhancement Jewel	-1
283	283	This item expands your inventory.	-1
284	284	After use, it will become active the next time you connect.	-1
285	285	Wizardry damage: %d - %d	12
286	286	Cannot be sold.	-1
287	287	When you drop it on the ground, 	-1
288	288	[Sign of lord/Zen/Jewel/Item]	-1
289	289	and you will receive one of the above items.	-1
290	290	Free entrance to Kalima	-1
291	291	Increases HP	-1
292	292	Moves to the corresponding area in 3 seconds	-1
293	293	Increases 1~3 energy stat points	-1
294	294	Increases 1~3 HP stat points	-1
295	295	Increases 1~3 agility stat points	-1
296	296	Increases 1~3 strength stat points	-1
297	297	Increases 1~3 command stat points	-1
298	298	Can decrease energy by 1~9 points	-1
299	299	Can decrease HP by 1~9 points	-1
300	300	Can decrease agility by 1~9 points	-1
301	301	Can decrease strength by 1~9 points	-1
302	302	Can decrease command by 1~9 points	-1
303	303	Used to upgrade wings	-1
304	304	Can be used when combining Cloak of Lord, Cloak of Fighter, Cloak of Limit or Cloak of Innocence	-1
305	305	Used in online events.	-1
306	306	Used in My Friend events.	-1
307	307	Used for siege registration.	-1
308	308	You can throw if you are at least level 40	-1
309	309	Requires level 80 to throw.	-1
310	310	Attack +20%%	-1
311	311	Duration: 120 seconds	-1
312	312	Only applicable to the castle gate and statue	-1
313	313	Increases AG recovery speed by 8	-1
314	314	Increases resistance to Lightning and Ice	-1
315	315	Scroll of guardian	-1
316	316	Place Life Stone	-1
317	317	Used in Dark Horse resurrection.	-1
318	318	Used in Dark Spirit resurrection.	-1
319	319	[Blue Crystal/Red Crystal/Black Crystal]	-1
320	320	If this is used on an event combination or thrown on the floor, it will explode and disappear.	-1
321	321	Throw this to receive money or items.	-1
322	322	Click to return to your save location.	-1
323	323	Right click to save your location.	-1
324	324	Increases damage by 3%%	-1
325	325	Increases damage by 5%%	-1
326	326	Increases damage by 7%%	-1
327	327	Increases attack power by 1	-1
328	328	Storage area: %s/location: (%d,%d)	224
329	329	Plasma Storm (Mana:50)	-1
330	330	When equipped, you can summon Fenryl.	-1
331	331	Skills improve through upgrades.	-1
332	332	Increases final damage by 10%%	-1
333	333	With this equipped, you can summons Fenrir.	-1
334	334	%d HP increase#%d Mana increase	225
335	335	%d attack power increase# %d wizardry increase	226
336	336	This is specially designed for heroes who have triumphed in the Illusion Temple.	-1
337	337	Ice resistance: %d	14
338	338	Poison resistance: %d	14
339	339	Lightning resistance: %d	14
340	340	Fire resistance: %d	14
341	341	Earth resistance: %d	14
342	342	Wind resistance: %d	14
343	343	Water resistance: %d	14
344	344	Receive a reward for returning this to the Archangel.	-1
345	345	Increases excellent damage by +10%%	-1
346	346	Archer	-1
347	347	Spearman	-1
348	348	Increases attack speed by 20	-1
349	349	Rena	-1
350	350	Absorbs 10%% of final damage	-1
351	351	Once you have 5 Mithril Fragments of the same element, they turn into a Mithril Fragment Bunch.	-1
352	352	Elemental Jewel Combination Item	-1
353	353	Once you have 5, they turn into an Elixir Fragment Bunch.	-1
354	354	Elemental Jewel Combination Item	-1
355	355	Elemental Jewel Level Enhancement Combination Item	-1
356	356	Elemental Jewel Additional Option Combination Item	-1
357	357	Elemental attack damage :  %d ~ %d	0
358	358	Elemental defense :  %d 	2
359	359	Trade Limit: %d	1
360	360	Mountable Slots : %d 	227
361	361	Acheron entry item.#5 can be combined to make a Spirit Map.	-1
362	362	Acheron entry item.#Acheron may be entered by talking to Captain Slope.	-1
363	363	Arca War Reward Item. You can trade with Sir Lesnar.	-1
364	364	Use level :  Master Level 1 or above.	-1
365	365	It's used as an ingredient for Scroll of Green Oblivion.	-1
366	366	It's used as an ingredient for Scroll of Blue Oblivion.	-1
367	367	It's used as an ingredient for Scroll of Red Oblivion.	-1
368	368	It's used as an ingredient for Scroll of Oblivion.	-1
369	369	It resets the first tree of the Master skill tree.	-1
370	370	It resets the second tree of the Master skill tree.	-1
371	371	It resets the third tree of the Master skill tree.	-1
372	372	It resets the entire Master skill tree.	-1
373	373	Right-click to use it. You can reconnect when you're using this.	-1
374	374	(Protection, Peace, Blessing, Guardian, Solidity, Determination, Willpower, Divinity, Vengeance, Punishment, Ritual, Light, Treasure, Blood Tree)	-1
375	375	(Bravery, Wisdom, Salvation, Chaos, Earth, Justice, Will, Retaliation, Severity, Harsh, Bloodshed, Decree, Solidarity, Doom Tree)	-1
376	376	(Anger, Overcome, Storm, Honor, Ultimatum, Conquer, Destruction, Obsession, Cols Blood, Heartless, Despair, Twilight, Liberation, Speculation Tree)	-1
377	377	Use Backpack #1 for a certain period of time.	-1
378	378	Use Backpack #2 for a certain period of time.	-1
379	379	Use Backpack #3 for a certain period of time.	-1
380	380	Use Backpack #4 for a certain period of time.	-1
381	381	Shows the Attribute Window when you Alt+Right-click	-1
382	382	When you upgrade a Pentagram item or Errtel, your chance for a successful upgrade increases by 10%%.	-1
383	383	A Combination talisman that prevents items from disappearing when upgrading Pentagram or Errtel items.	-1
384	384	Use level : Master Level 1 or above.	-1
385	385	Increases your chance of creating Warrior's Cloak.	-1
386	386	Combining this note with 2 Ice Walker's Mane#and 1 Dark Iron Knight's Sword#will create Sonic Blade.	-1
387	387	Combining this note with 2 Mammoth Bundles of Fur#and 1 Dark Mammoth's Horn#will create a Cyclone Sword. 	-1
388	388	They are used for general combinations for#Chaos Goblins in Noria.	-1
389	389	If you have +15 Death King's Bone & Clock of Death, send a ticket through CS	-1
390	390	If you have +15 Hell Maine's Leather & Wing of Chaos, send a ticket through CS	-1
391	391	If you have +15 Dark Phoenix Feather & Wing of Magic, send a ticket through CS	-1
392	392	If you have +15 Death Beam Knight Soul & Wing of Life, send a ticket through CS	-1
393	393	Your wings will be upgraded to +15 grade wings. (2 Excellent options)	-1
394	394	Combining this note with 2 Giant's Pieces of Ice#and 1 Dark Iron Knight's Sword# will create Blast Break.	-1
395	395	Possible combination items %d / 5.	1
396	396	%d / 5, Once you have 5, they automatically transform into Spirit Map.	1
397	397	Combining this note with 2 Coolutin's Poison#and 1 Dark Mammoth's Horn#will create Magmus Peer.	-1
398	398	Combining this note with 2 Giant's Pieces of Ice#and 1 Dark Giant's Axe#will create Horn of Steal.	-1
399	399	Combining this note with 2 Ice Walker's Mane#and 1 Dark Mammoth's Horn#will create Angelic Bow.	-1
400	400	Combining this note with 2 Iron Knight's Hearts#and 1 Dark Coolutin's Blood#will create Devil Crossbow.	-1
401	401	Combining this note with 2 Giant's Pieces of Ice#and 1 Dark Mammoth's Horn#will create Miracle Staff.	-1
402	402	Combining this note with 2 Iron Knight's Hearts#and 1 Dark Giant's Axe#will create Spite Staff.	-1
403	403	Combining this note with 2 Iron Knight's Hearts#and 1 Dark Iron Knight's Sword#will create Asura.	-1
404	404	Combining this note with 2 Mammoth Bundles of Fur#and 1 Dark Coolutin's Blood#will create Thunderbolt.	-1
405	405	Combining this note with 2 Iron Knight's Hearts#and 1 Dark Mammoth's Horn#will create Soul Blinger.	-1
406	406	Combining this note with 2 Giant's Pieces of Ice#and 1 Dark Coolutin's Blood#will create Prickle Gloves.	-1
407	407	Item created from stacking 5 Mithril Fragments. Used when combining Mithril.	-1
408	408	Item created from stacking 5 Elixir Fragments. Used when combining Elixir.	-1
409	409	Increases damage %d%%	228
410	410	Increases damage %d%%	229
411	411	Increases damage %d%%	230
412	412	Absorbs %d%% of incoming DMG	231
413	413	Absorbs %d%% of incoming DMG	232
414	414	Absorbs %d%% of incoming DMG	233
415	415	Players with an Outlaw status cannot take effect	-1
416	416	Lost Tower/Tarkan/Aida/Swamp of Peace/#An area is created at the safe zone in La Cleon,#and you can left-click to start mining.	-1
417	417	Mining areas are divided into blue/purple/gold#and require more durability in that order.#You can obtain more jewels if you mine successfully.	-1
418	418	You will receive the obtained jewels#when you move to another place.#Only Jewels of Bless can be repaired with durability.	-1
419	419	Increases the trade limit for Pentragram items. Drag it to the item for which you want to extend the limit.	-1
420	420	Equip this to transform into a Robot Knight.	-1
421	421	Use Pet Skeletons and Pet Pandas at the same time to aquire additional#EXP50%%.	-1
422	422	Increases Defense by +10	-1
423	423	Equip this to transform into a Mini Robot.	-1
424	424	Equip this to transform into a Great Heavenly Mage.	-1
425	425	Increase Damage by %d%%	234
426	426	Absorbs %d%% of incoming DMG	234
427	427	Increase EXP by 20%%	-1
428	428	When throwing a scroll on the floor, the New Year monster is summoned. #Hunt the New Year monster to acquire a special item.	-1
429	429	Upgrade the summon scroll through chaos combination to acquire more special item.	-1
430	430	When equipped, New Year Decoration effect is added.	-1
431	434	Chance of Ignoring Defense Resistance: %d%%	17
432	435	Chance of Ignoring SD Resistance: %d%%	17
433	436	Double Chance Resistance: %d%%	17
434	437	Stun Chance Resistance: %d%%	17
435	438	Excellent Chance Resistance: %d%%	17
436	439	Critical Chance Resistance: %d%%	17
437	440	%d / 24	1
438	441	This item can start a mini game.	-1
439	442	This item will be used as soon as the mini game starts.	-1
440	443	Increases attack power and wizardry by 10%%	-1
441	444	Increases attack power and wizardry by 15%%	-1
